City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
grand gaube,MU,-20.0064,57.6608,73.8,67,0,5.99,1666716973
sete lagoas,BR,-19.4658,-44.2467,83.28,31,60,6.78,1666716973
tautira,PF,-17.7333,-149.15,78.28,84,100,24.2,1666716974
shugurovo,RU,54.5083,52.1326,34.54,90,100,10.74,1666716974
mar del plata,AR,-38.0023,-57.5575,77.02,75,100,10.0,1666716974
krasnyy oktyabr,RU,56.1167,38.8833,31.6,87,63,3.24,1666716975
dalby,AU,-27.1833,151.2667,62.98,88,35,4.23,1666716975
talcahuano,CL,-36.7167,-73.1167,56.88,77,100,10.36,1666716715
koulamoutou,GA,-1.1303,12.4736,73.72,98,100,0.72,1666716976
belyy yar,RU,53.6039,91.3903,19.29,79,0,0.0,1666716976
waddan,LY,29.1614,16.139,76.77,28,0,10.42,1666716977
karacabey,TR,40.2152,28.4038,62.31,44,2,3.04,1666716977
antofagasta,CL,-23.65,-70.4,61.88,60,18,8.88,1666716757
olafsvik,IS,64.8945,-23.7142,41.61,82,100,26.75,1666716978
dalbandin,PK,28.8947,64.4101,75.16,15,0,2.53,1666716978
valley city,US,46.9233,-98.0032,41.52,75,20,11.5,1666716978
hokitika,NZ,-42.7167,170.9667,49.98,91,100,2.91,1666716979
enshi,CN,30.3,109.4833,58.1,89,100,1.52,1666716979
clarence town,AU,-32.5833,151.7833,65.86,90,12,6.22,1666716980
abu samrah,SY,35.3029,37.1841,73.62,31,34,9.69,1666716981
barabai,ID,-2.5833,115.3833,75.33,97,100,2.08,1666716981
asyut,EG,27.181,31.1837,77.18,32,46,13.15,1666716982
nan,TH,18.8333,100.6667,72.0,89,95,0.98,1666716982
flinders,AU,-34.5833,150.8552,65.25,90,58,4.0,1666716829
guider,CM,9.9342,13.9486,86.74,29,51,6.08,1666716982
jacqueville,CI,5.2052,-4.4146,80.11,82,93,9.44,1666716983
tabou,CI,4.423,-7.3528,80.69,80,78,8.57,1666716983
mamlyutka,KZ,54.9375,68.5394,33.08,97,100,10.16,1666716984
pitimbu,BR,-7.4706,-34.8086,79.39,65,53,14.07,1666716984
estelle,US,29.8458,-90.1067,73.4,88,100,13.8,1666716985
kirakira,SB,-10.4544,161.9205,78.31,85,4,2.55,1666716986
egvekinot,RU,66.3167,-179.1667,6.04,88,68,6.44,1666716986
yendi,GH,9.4427,-0.0099,89.44,47,51,1.19,1666716987
nagorsk,RU,59.3172,50.8078,27.84,90,45,5.08,1666716987
oussouye,SN,12.485,-16.5469,91.58,57,90,8.34,1666716989
ngunguru,NZ,-35.6167,174.5,56.66,81,85,7.81,1666716989
okha,RU,53.5739,142.9478,33.84,82,55,10.0,1666716989
burns lake,CA,54.2331,-125.7533,29.62,75,100,5.32,1666716990
liverpool,GB,53.4106,-2.9779,59.29,83,20,9.22,1666716990
taree,AU,-31.9,152.4667,60.98,92,23,4.56,1666716991
poum,NC,-20.2333,164.0167,75.25,84,80,13.0,1666716931
beyneu,KZ,45.3167,55.2,51.85,77,100,22.68,1666716991
huarmey,PE,-10.0681,-78.1522,68.59,68,75,10.49,1666716991
bislig,PH,8.2167,126.2833,74.16,96,97,4.97,1666716992
petrolina,BR,-9.3986,-40.5008,93.25,36,75,5.75,1666716915
leeuwarden,NL,53.2014,5.8086,59.0,92,75,5.75,1666716866
vardo,NO,70.3705,31.1107,31.98,74,0,19.57,1666716846
scarborough,GB,54.2797,-0.4044,56.77,85,79,4.0,1666716993
amga,RU,60.8953,131.9608,16.77,95,37,5.5,1666716993
wainwright,CA,52.839,-110.8572,36.0,62,70,7.16,1666716993
tefe,BR,-3.3542,-64.7114,89.71,66,40,4.61,1666716994
nalut,LY,30.3333,10.85,74.88,21,0,4.52,1666716994
ventspils,LV,57.3894,21.5606,53.53,100,100,11.5,1666716997
half moon bay,US,37.4636,-122.4286,63.91,83,100,0.0,1666716997
jiuquan,CN,39.7432,98.5174,42.15,44,0,3.0,1666716998
iwanai,JP,42.9744,140.5089,35.15,74,0,4.79,1666716998
la rioja,ES,42.25,-2.5,73.18,37,31,15.99,1666716998
bonavista,CA,48.6499,-53.1147,53.08,73,5,2.17,1666716856
waingapu,ID,-9.6567,120.2641,80.85,79,100,1.72,1666716999
muroto,JP,33.2833,134.15,60.55,58,0,13.22,1666716999
buluang,PH,13.3068,123.3425,76.57,94,76,3.53,1666717000
camana,PE,-16.6228,-72.7111,66.24,69,23,9.51,1666717000
noumea,NC,-22.2763,166.4572,69.78,85,93,9.82,1666716733
humaita,BR,-7.5061,-63.0208,84.24,67,99,3.44,1666717001
linxia,CN,35.6003,103.2064,54.81,71,100,1.86,1666717001
saint-pierre,RE,-21.3393,55.4781,73.08,68,0,4.61,1666717001
hohhot,CN,40.8106,111.6522,57.49,26,40,8.95,1666717002
kiunga,PG,-6.1219,141.2906,72.25,100,100,3.58,1666717002
alihe,CN,50.5667,123.7167,35.35,78,100,5.1,1666717003
brae,GB,60.3964,-1.353,52.02,91,94,9.01,1666717003
chapais,CA,49.7834,-74.8492,58.78,70,79,12.24,1666717004
nemuro,JP,43.3236,145.575,44.98,53,34,5.59,1666717004
annau,TM,37.8876,58.516,58.5,67,40,6.91,1666717004
luwuk,ID,-0.9516,122.7875,78.6,83,75,2.8,1666717005
prado,BR,-17.3411,-39.2208,73.47,91,100,4.92,1666717005
barra patuca,HN,15.8,-84.2833,85.75,62,95,5.23,1666717005
pascagoula,US,30.3658,-88.5561,81.41,91,92,14.85,1666716945
ust-maya,RU,60.4167,134.5333,14.81,96,31,5.39,1666717006
mancio lima,BR,-7.6142,-72.8958,87.87,70,75,4.61,1666717006
camacha,PT,33.0833,-16.3333,71.02,73,40,11.5,1666716986
vostok,RU,46.4856,135.8833,27.52,63,10,4.59,1666717007
kuryk,KZ,43.2,51.65,54.97,62,84,17.63,1666717008
kropotkin,RU,45.4375,40.5756,55.54,72,97,3.27,1666717009
bathsheba,BB,13.2167,-59.5167,84.81,79,40,17.27,1666716810
nehe,CN,48.4833,124.8333,44.47,73,94,2.86,1666717010
quatre cocos,MU,-20.2078,57.7625,73.51,71,0,12.15,1666717010
la paz,BO,-16.5,-68.15,64.38,29,20,9.22,1666717011
hualmay,PE,-11.0964,-77.6139,67.73,68,40,11.25,1666717011
yumen,CN,40.2833,97.2,43.12,43,0,10.65,1666717012
liuli,TZ,-11.0833,34.6333,83.53,51,66,3.27,1666717013
pokhvistnevo,RU,53.6524,52.1274,36.79,73,100,5.28,1666717013
tazovskiy,RU,67.4667,78.7,21.51,93,100,11.1,1666716990
rincon,US,32.296,-81.2354,73.9,65,28,1.07,1666716845
groa,NO,62.65,8.7167,47.25,95,100,2.84,1666717014
san matias,BO,-16.3667,-58.4,101.73,29,0,1.45,1666717014
port blair,IN,11.6667,92.75,80.15,81,26,5.39,1666716835
san isidro,PE,-12.1167,-77.05,69.01,73,100,10.36,1666717015
kpalime,TG,6.9,0.6333,80.98,82,92,1.61,1666717015
villa union,MX,23.2,-106.2333,84.9,73,85,0.34,1666717016
umm lajj,SA,25.0213,37.2685,80.4,64,5,8.88,1666717009
stara synyava,UA,49.6032,27.6191,53.4,94,100,10.51,1666717016
maneromango,TZ,-7.1988,38.7848,70.81,89,78,10.11,1666717018
kunda,IN,25.7167,81.5167,70.79,51,0,5.17,1666717018
tecoanapa,MX,16.5167,-98.75,84.16,74,24,5.08,1666717019
urucara,BR,-2.5364,-57.76,91.26,47,100,4.12,1666717019
lincoln,US,40.8,-96.667,55.0,77,1,1.99,1666716869
odweyne,SO,9.4092,45.064,77.36,59,99,8.61,1666717023
linqiong,CN,30.4159,103.4609,58.82,90,100,2.64,1666717005
zhigansk,RU,66.7697,123.3711,8.06,93,100,6.6,1666717023
forssa,FI,60.8146,23.6215,44.67,98,100,9.26,1666717024
kloulklubed,PW,7.0419,134.2556,83.71,79,100,22.24,1666716963
smithers,CA,54.7804,-127.1743,34.12,80,100,4.61,1666717024
fuerte olimpo,PY,-21.0415,-57.8738,101.07,20,0,5.44,1666717025
shingu,JP,33.7333,135.9833,50.65,78,1,6.24,1666717001
arkhangelsk,RU,64.5401,40.5433,32.11,100,100,4.47,1666717025
paamiut,GL,61.994,-49.6678,32.61,80,25,21.85,1666717025
vila,PT,42.0304,-8.1588,56.28,88,52,8.32,1666717026
mezen,RU,65.8522,44.24,31.5,91,53,7.34,1666717026
pewaukee,US,43.0806,-88.2612,55.56,91,100,6.91,1666716829
maku,IR,39.2911,44.4521,51.53,59,0,1.63,1666717027
chai badan,TH,15.2,101.1333,76.21,82,99,3.6,1666717027
chake chake,TZ,-5.2459,39.7666,76.14,86,70,10.25,1666717028
hirara,JP,24.8,125.2833,74.46,63,98,20.33,1666717028
spornoye,RU,50.8448,37.2913,47.55,86,100,4.88,1666717028
kijang,KR,35.2442,129.2139,49.73,56,73,9.62,1666717029
ariquemes,BR,-9.9133,-63.0408,80.92,84,97,6.98,1666717029
muyezerskiy,RU,63.9333,31.65,28.94,87,56,4.56,1666717030
tarime,TZ,-1.35,34.3667,67.91,70,68,1.92,1666717030
peniche,PT,39.3558,-9.3811,71.29,84,34,16.4,1666716877
sao filipe,CV,14.8961,-24.4956,78.48,78,6,6.8,1666716953
kununurra,AU,-15.7667,128.7333,84.18,70,100,3.44,1666716840
taoudenni,ML,22.6783,-3.9836,92.12,8,100,13.29,1666717031
laizhou,CN,37.1717,119.9214,57.16,70,100,10.36,1666717031
duluth,US,46.7833,-92.1066,45.55,69,100,16.11,1666716992
mayumba,GA,-3.432,10.6554,78.46,86,65,5.61,1666717031
stutterheim,ZA,-32.5708,27.424,56.75,81,100,8.99,1666717033
puerto del rosario,ES,28.5004,-13.8627,76.75,78,20,9.22,1666717034
milyutinskaya,RU,48.6279,41.6679,47.23,75,52,5.37,1666717034
kamensk-uralskiy,RU,56.4185,61.9329,29.61,76,80,6.62,1666717034
nome,US,64.5011,-165.4064,29.16,85,100,22.06,1666717035
auki,SB,-8.7676,160.7034,76.42,88,4,2.62,1666716938
mbigou,GA,-1.9005,11.906,70.68,94,95,2.66,1666717035
lunino,RU,53.5918,45.2271,38.91,77,99,5.46,1666717036
otradnoye,RU,59.7775,30.8181,37.45,70,97,7.52,1666717036
pointe michel,DM,15.25,-61.3833,88.74,70,75,2.3,1666717037
berlevag,NO,70.8578,29.0864,35.6,60,75,18.41,1666717037
urumqi,CN,43.801,87.6005,41.95,57,0,2.24,1666717037
fiumicino,IT,41.7675,12.2291,73.17,81,0,4.61,1666717038
great falls,US,47.5002,-111.3008,43.66,62,91,18.05,1666717038
tarakan,ID,3.3,117.6333,76.5,94,40,2.3,1666717038
lagoa,PT,39.05,-27.9833,62.6,68,67,23.13,1666716937
samarai,PG,-10.6167,150.6667,79.68,70,95,4.81,1666717040
maniitsoq,GL,65.4167,-52.9,31.21,76,83,7.67,1666717040
ola,RU,59.5833,151.2833,25.14,91,100,12.17,1666717041
baherden,TM,38.4362,57.4316,64.49,50,52,6.8,1666717041
clyde river,CA,70.4692,-68.5914,3.43,66,0,11.5,1666716943
crestview,US,30.7621,-86.5705,80.89,68,75,18.41,1666716857
lasa,IT,46.6166,10.7002,56.28,84,72,2.73,1666716881
baoqing,CN,46.3317,132.2111,35.37,72,7,7.74,1666717042
sredniy ikorets,RU,51.0675,39.7584,44.17,77,57,5.08,1666717042
pangnirtung,CA,66.1451,-65.7125,19.4,58,20,8.05,1666717045
joetsu,JP,37.1483,138.2364,51.96,71,38,5.86,1666717047
lake havasu city,US,34.4839,-114.3224,68.22,22,0,1.01,1666717047
nushki,PK,29.5542,66.0215,70.27,20,47,2.39,1666717048
magadan,RU,59.5667,150.8,24.53,88,100,13.71,1666717048
gweta,BW,-20.1833,25.2333,89.53,22,42,5.35,1666717048
camopi,GF,3.1655,-52.3158,99.82,30,98,1.16,1666717049
iqaluit,CA,63.7506,-68.5145,22.73,73,100,19.57,1666716809
matara,LK,5.9485,80.5353,77.76,86,48,6.58,1666717049
saravan,AM,39.7196,45.6483,43.88,56,0,3.24,1666717050
lake charles,US,30.2131,-93.2044,66.97,59,0,17.27,1666716917
punuare,HN,14.7333,-85.9667,92.16,64,94,2.53,1666717051
labuan,MY,5.2767,115.2417,77.36,94,40,0.0,1666717052
lorengau,PG,-2.0226,147.2712,81.41,73,98,2.24,1666716812
russell,US,32.3502,-85.1999,78.01,42,45,9.15,1666717052
port hedland,AU,-20.3167,118.5667,66.25,72,0,6.91,1666717052
tulun,RU,54.5611,100.5792,27.09,57,10,4.68,1666717053
leshukonskoye,RU,64.8989,45.7622,30.47,94,76,5.64,1666717053
san vicente,AR,-26.6167,-54.1333,84.85,28,0,4.72,1666717054
brigantine,US,39.4101,-74.3646,67.03,98,84,1.99,1666716943
